,player_name,player_birth,player_physical,player_no,player_position,player_exprience,player_payment,player_salaly,player_draft,player_join
79854,카도쿠라,1973년 03월 09일,191cm/95kg,88,(우투우타),일본 세이보우가쿠엔고-일본 토호쿠후쿠시대-SK-삼성,,,09 SK 자유선발,
79858,글로버,1976년 12월 03일,196cm/93kg,59,투수(우투우타),미국 디랜드고,,,09 SK 자유선발,
79859,니코스키,1973년 03월 09일,191cm/95kg,94,투수(좌투좌타),미국 세인트존스대-SK-두산,,,09 SK 자유선발,
79866,박상현,1989년 11월 22일,177cm/81kg,54,내야수(우투우타),대성초-진흥중-진흥고,,,09 SK 2차 2라운드 9순위,09SK
79868,김정남,1986년 11월 22일,186cm/90kg,42,포수(우투좌타),성동초-잠신중-청원고-성균관대,,,09 SK 2차 4라운드 25순위,
79869,윤중환,1990년 09월 07일,180cm/80kg,93,외야수(좌투좌타),화곡초-양천중-성남고-SK-경찰-SK,,,09 SK 육성선수,09SK
79888,코우조,1962년 01월 02일,170cm/75kg,87,(우투양타),일본 와카야마상고,,,,09SK코치
79901,강성민,1986년 12월 24일,182cm/78kg,62,투수(우투우타),서석초-무등중-광주제일고-인하대,,,,
79903,김정혁,1985년 08월 03일,183cm/78kg,3,외야수(우투우타),포철공고-동국대,,,,
79908,윤정호,1988년 01월 23일,181cm/83kg,90,외야수(우투우타),장위초(강북리틀)-덕수중-경기고-단국대-상무,,,,
79933,홍순민,1986년 09월 09일,185cm/84kg,33,외야수(우투좌타),배명고-연세대,,,,
79952,김동영,1990년 05월 12일,180cm/78kg,111,내야수(우투좌타),역삼초-이수중-신일고-상무,,,,
80001,강병선,1965년 05월 09일,0cm/0kg,,외야수(우투우타),경희대,,,,
80002,강정남,1960년 08월 14일,0cm/0kg,,외야수(좌투좌타),광주상고-동국대,,,,
80004,김경호,1963년 04월 07일,0cm/0kg,,내야수(우투우타),인하대,,,,
80005,김기홍,1970년 02월 26일,0cm/0kg,,내야수(우투우타),덕수상고,,,,
80006,김구길,1953년 06월 16일,0cm/0kg,,내야수(우투우타),인천고,,,,
80008,김선훈,1969년 12월 16일,0cm/0kg,,내야수(우투우타),춘천고,,,,
